hole_id,Sample_id,depth_from,depth_to,lcode
B01,,0,2.44,9
B01,,2.44,4.88,9
B01,,4.88,6.4,9
B01,,6.4,9.75,6
B01,,9.75,11.89,2
B01,,11.89,13.42,9
B01,,13.42,16.17,9
B01,,16.17,18.91,9
B01,,18.91,20.43,9
B01,,20.43,22.26,9
B01,,22.26,24.4,2
B01,,24.4,26.23,2
B01,,26.23,28.67,3
B01,,28.67,30.5,3
B01,,30.5,32.33,10
B01,,32.33,34.16,10
B01,,34.16,36.59,10
B01,,36.59,39.02,10
B01,,39.02,41.44,3
B01,,41.44,43.24,3
B01,,43.24,45.06,10
B01,,45.06,46.86,10
B01,,46.86,48.96,10
B01,,48.96,51.06,10
B01,,51.06,53.56,10
B01,,53.56,55.36,3
B01,,55.36,57.76,1
B01,,57.76,59.61,10
B01,,59.61,62.76,10
B01,,62.76,64.26,1
B01,,64.26,66.41,1
B01,,66.41,68.31,2
B01,,68.31,70.11,1
B01,,70.11,72.21,1
B01,,72.21,74.68,1
B01,,74.68,77.4,1
B01,,77.4,79.3,1
B01,,79.3,81.4,8
B01,,81.4,82.95,8
B02,,0,2.1,5
B02,,2.1,4.25,4
B02,,4.25,6.4,4
B02,,6.4,8.2,4
B02,,8.2,10.35,9
B02,,10.35,12.2,9
B02,,12.2,14.95,1
B02,,14.95,16.8,1
B02,,16.8,18.9,1
B02,,18.9,21.1,1
B02,,21.1,22.85,1
B02,,22.85,25,7
B02,,25,26.8,7
B02,,26.8,28.65,1
B02,,28.65,31.1,1
B02,,31.1,32.65,1
B02,,32.65,35.1,1
B02,,35.1,36.9,9
B02,,36.9,38.7,9
B02,,38.7,40.5,9
B02,,40.5,42.7,1
B02,,42.7,45.75,1
B02,,45.75,48.2,1
B02,,48.2,48.8,1
B02,,48.8,51.25,1
B02,,51.25,53.4,1
B02,,53.4,55.5,1
B02,,55.5,57.95,1
B02,,57.95,61,1
B02,,61,62.5,1
B02,,62.5,64.05,1
B02,,64.05,65.55,1
B02,,65.55,67.1,1
B02,,67.1,68.65,1
B02,,68.65,70.15,1
B02,,70.15,71.7,1
B02,,71.7,73.2,1
B02,,73.2,75.65,1
B03,,0,2.1,5
B03,,2.1,3.95,5
B03,,3.95,6.1,5
B03,,6.1,8.5,4
B03,,8.5,11.25,4
B03,,11.25,13.4,4
B03,,13.4,15.85,4
B03,,15.85,17.85,4
B03,,17.85,19.2,4
B03,,19.2,21,4
B03,,21,22.85,9
B03,,22.85,25.9,9
B03,,25.9,27.45,1
B03,,27.45,29.55,1
B03,,29.55,31.65,1
B03,,31.65,33.5,1
B03,,33.5,35.35,1
B03,,35.35,38.1,1
B03,,38.1,40.2,1
B03,,40.2,42.65,1
B03,,42.65,44.75,1
B03,,44.75,47.15,1
B03,,47.15,49.25,1
B03,,49.25,51.7,1
B03,,51.7,53.8,1
B03,,53.8,56.25,1
B03,,56.25,59.05,1
B03,,59.05,60.6,1
B03,,60.6,62.45,1
B03,,62.45,64,1
B03,,64,65.5,1
B03,,65.5,67.65,1
B03,,67.65,70.1,1
B03,,70.1,71.9,1
B03,,71.9,73.75,1
B03,,73.75,75.85,1
B03,,75.85,77.7,1
B03,,77.7,80,1
B03,,80,82.15,1
B03,,82.15,84.85,1
B03,,84.85,86.9,1
B03,,86.9,88.15,1
B03,,88.15,90,1
B03,,90,92.1,1
B03,,92.1,94.5,1
B03,,94.5,96.35,1
B03,,96.35,99.05,1
B03,,99.05,100.6,1
B03,,100.6,101.8,1
B03,,101.8,103.9,1
B03,,103.9,106.35,1
B03,,106.35,108.6,1
B03,,108.6,109.8,1
B03,,109.8,111.3,1
B03,,111.3,112.8,1
B03,,112.8,116.1,1
B03,,116.1,118.2,1
B03,,118.2,120.65,1
B03,,120.65,122.75,1
B03,,122.75,124.85,1
B03,,124.85,126.65,1
B03,,126.65,128.5,1
B03,,128.5,130.9,1
B04,,0,1.2,5
B04,,1.2,2.4,5
B04,,2.4,5.15,5
B04,,5.15,7.6,8
B04,,7.6,10.05,8
B05,,0,1.2,5
B05,,1.2,4,5
B05,,4,5.5,5
B05,,5.5,8.55,4
B05,,8.55,10.65,4
B05,,10.65,12.5,4
B05,,12.5,14.3,4
B05,,14.3,16.75,4
B05,,16.75,18.9,9
B05,,18.9,20.7,9
B05,,20.7,22.85,9
B05,,22.85,24.4,2
B05,,24.4,26.8,2
B05,,26.8,28.65,2
B05,,28.65,30.5,2
B05,,30.5,32.9,1
B05,,32.9,34.7,1
B05,,34.7,36.85,1
B05,,36.85,38.7,1
B05,,38.7,40.2,9
B05,,40.2,42.05,9
B05,,42.05,44.45,1
B05,,44.45,46.3,1
B05,,46.3,48.45,1
B05,,48.45,50.6,1
B05,,50.6,53.35,1
B05,,53.35,55.5,1
B05,,55.5,57.05,1
B05,,57.05,58.85,1
B05,,58.85,61.25,2
B05,,61.25,63.1,2
B05,,63.1,64.9,2
B05,,64.9,67.35,2
B05,,67.35,69.75,2
B05,,69.75,72.2,2
B05,,72.2,74.35,2
B05,,74.35,75.85,2
B05,,75.85,77.7,2
B05,,77.7,80.2,2
B05,,80.2,81.7,2
B05,,81.7,82.95,2
B05,,82.95,84.75,2
B05,,84.75,87.2,2
B05,,87.2,89.65,1
B05,,89.65,91.45,1
B05,,91.45,92.95,1
B06,,0,1.8,5
B06,,1.8,4.2,8
B06,,4.2,6.4,8
B07,,0,1.8,8
B07,,1.8,3.65,8
B07,,3.65,6.4,8
B07,,6.4,8.55,8
B07,,8.55,11.25,8
B07,,11.25,13.05,8
B08,,0,1.85,4
B08,,1.85,3.95,4
B08,,3.95,6.35,4
B08,,6.35,7.6,4
B08,,7.6,8.5,1
B08,,8.5,9.15,1
B08,,9.15,11.9,1
B08,,11.9,14.3,1
B08,,14.3,17.4,1
B08,,17.4,18.9,1
B08,,18.9,19.8,1
B08,,19.8,21.35,1
B08,,21.35,22.85,1
B08,,22.85,24.4,1
B08,,24.4,25.9,1
B08,,25.9,28.02,2
B08,,28.02,30.16,2
B08,,30.16,32.31,2
B08,,32.31,34.77,2
B08,,34.77,36.59,2
B08,,36.59,39,2
B08,,39,41.1,2
B08,,41.1,42.38,10
B08,,42.38,44.51,10
B08,,44.51,46.03,10
B08,,46.03,47.55,2
B08,,47.55,49.95,2
B08,,49.95,51.47,2
B08,,51.47,53.62,10
B08,,53.62,56.02,10
B08,,56.02,57.57,2
B08,,57.57,59.72,2
B08,,59.72,61.27,2
B08,,61.27,62.79,2
B08,,62.79,64.92,2
B08,,64.92,67.05,2
B08,,67.05,69.18,10
B08,,69.18,71.01,3
B08,,71.01,73.44,3
B08,,73.44,74.96,3
